iter	Passed	Remaining
0	0	79
1	1	73
2	2	73
3	3	73
4	3	71
5	4	73
6	5	71
7	6	71
8	7	73
9	7	71
10	8	70
11	9	70
12	10	68
13	11	69
14	11	67
15	12	66
16	13	65
17	14	66
18	15	65
19	16	64
20	16	62
21	17	61
22	18	60
23	18	59
24	19	59
25	20	57
26	21	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	45
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	45	27
62	46	27
63	46	26
64	47	25
65	47	24
66	48	24
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	60	11
84	61	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
