iter	Passed	Remaining
0	124	124049
1	125	62467
2	125	41845
3	126	31513
4	127	25316
5	127	21193
6	128	18270
7	129	16063
8	130	14339
9	132	13104
10	133	11969
11	134	11033
12	135	10269
13	137	9657
14	138	9071
15	138	8547
16	139	8094
17	141	7693
18	141	7318
19	143	7018
20	144	6715
21	144	6439
22	145	6184
23	146	5959
24	147	5745
25	147	5543
26	148	5354
27	149	5181
28	149	5020
29	151	4899
30	152	4765
31	153	4638
32	154	4514
33	155	4406
34	156	4307
35	157	4210
36	158	4117
37	158	4022
38	159	3931
39	160	3843
40	160	3765
41	161	3693
42	163	3629
43	163	3559
44	164	3490
45	165	3429
46	166	3366
47	166	3312
48	167	3256
49	168	3203
50	169	3150
51	170	3101
52	170	3051
53	171	3006
54	172	2960
55	173	2920
56	174	2881
57	175	2846
58	175	2805
59	176	2769
60	177	2730
61	178	2695
62	178	2658
63	179	2623
64	180	2589
65	180	2557
66	181	2525
67	183	2510
68	184	2483
69	184	2454
70	185	2425
71	186	2399
72	186	2370
73	187	2346
74	188	2323
75	189	2299
76	189	2277
77	191	2258
78	191	2238
79	192	2217
80	193	2196
81	194	2179
82	195	2154
83	195	2134
84	196	2112
85	197	2097
86	198	2080
87	199	2064
88	200	2047
89	200	2031
90	201	2015
91	202	1997
92	203	1980
93	203	1965
94	204	1949
95	205	1936
96	206	1921
97	206	1904
98	207	1887
99	208	1872
100	208	1857
101	209	1844
102	210	1832
103	211	1818
104	211	1806
105	212	1793
106	213	1783
107	214	1772
108	215	1761
109	216	1750
110	217	1738
111	218	1729
112	218	1717
113	219	1707
114	220	1696
115	221	1685
116	221	1674
117	222	1665
118	223	1655
119	224	1644
120	224	1634
121	225	1622
122	226	1612
123	226	1603
124	227	1592
125	228	1583
126	228	1572
127	229	1564
128	230	1555
129	231	1549
130	232	1540
131	232	1531
132	233	1521
133	234	1512
134	234	1503
135	235	1495
136	236	1486
137	236	1477
138	237	1469
139	237	1460
140	238	1451
141	238	1441
142	239	1434
143	240	1426
144	240	1419
145	241	1411
146	241	1404
147	242	1397
148	243	1392
149	244	1385
150	245	1378
151	245	1370
152	246	1363
153	247	1357
154	247	1350
155	248	1343
156	248	1336
157	249	1330
158	250	1323
159	250	1317
160	251	1309
161	251	1302
162	252	1295
163	252	1288
164	253	1282
165	253	1275
166	254	1269
167	255	1263
168	255	1258
169	256	1251
170	257	1246
171	257	1240
172	258	1234
173	259	1229
174	259	1223
175	260	1217
176	261	1214
177	261	1209
178	262	1204
179	263	1199
180	263	1193
181	264	1188
182	265	1183
183	265	1178
184	266	1173
185	267	1168
186	267	1163
187	268	1158
188	269	1154
189	269	1150
190	270	1144
191	270	1140
192	271	1135
193	272	1130
194	272	1125
195	273	1120
196	273	1116
197	274	1111
198	275	1107
199	275	1103
200	276	1099
201	277	1095
202	277	1090
203	278	1085
204	278	1081
205	279	1077
206	280	1073
207	280	1069
208	281	1066
209	282	1062
210	283	1058
211	283	1054
212	284	1049
213	284	1045
214	285	1041
215	285	1037
216	286	1034
217	287	1030
218	287	1026
219	288	1022
220	289	1018
221	289	1014
222	290	1012
223	291	1009
224	291	1005
225	292	1002
226	293	998
227	293	994
228	294	990
229	294	986
230	295	983
231	296	980
232	296	976
233	297	973
234	297	969
235	298	966
236	299	962
237	299	959
238	300	955
239	300	951
240	301	948
241	301	945
242	302	942
243	303	938
244	303	935
245	304	932
246	304	928
247	305	925
248	306	923
249	307	921
250	307	918
251	308	915
252	308	912
253	309	908
254	309	905
255	310	902
256	311	899
257	311	896
258	312	893
259	312	890
260	313	887
261	313	884
262	314	881
263	315	879
264	315	876
265	316	873
266	316	870
267	317	866
268	317	863
269	318	860
270	318	857
271	319	854
272	320	852
273	320	849
274	321	847
275	322	845
276	322	842
277	323	839
278	323	836
279	324	834
280	324	831
281	325	828
282	326	826
283	326	823
284	327	820
285	327	817
286	328	815
287	328	812
288	329	810
289	329	807
290	330	804
291	330	802
292	331	799
293	331	796
294	332	794
295	333	792
296	333	789
297	334	787
298	334	784
299	335	782
300	335	780
301	337	779
302	337	776
303	338	774
304	338	771
305	339	769
306	339	766
307	340	764
308	340	762
309	341	759
310	342	757
311	342	755
312	343	753
313	343	750
314	344	748
315	344	746
316	345	743
317	345	741
318	346	739
319	346	736
320	347	734
321	347	732
322	348	730
323	348	728
324	349	726
325	350	724
326	350	722
327	351	719
328	351	717
329	352	715
330	353	713
331	353	711
332	354	709
333	354	706
334	355	704
335	355	702
336	356	700
337	356	698
338	357	696
339	357	694
340	358	691
341	358	690
342	359	688
343	360	686
344	360	684
345	361	682
346	361	680
